GE
BAC
F
CGC
TWTR
BABA
ABEV
T
SNAP
WFT
WFC
CHK
HAL
PBR
PFE
VALE
RIG
SWN
SQ
GME
FCX
ITUB
ORCL
AUY
CVS
VZ
NLY
KMI
HPE
WMB
XOM
HPQ
GM
ESV
C
DNR
NKE
NOK
V
JCP
JPM
ABX
RF
KO
MRO
SLB
DAL
M
WMT
AES
CLF
NWL
SO
NBR
HK
ADT
GGB
LVS
HBI
CTL
P
TAHO
WPX
AKS
TAL
MGM
COTY
GFI
GG
PG
S
TSM
DWDP
CRM
DVN
LB
EXC
HST
KR
TEVA
KIM
MO
JCI
CIG
KEY
INFY
PBRA
ADM
TGT
MRK
BEN
PPL
SYF
BMY
DIS
GIS
JNJ
NBL
NEM
ABT
